restaurant_name,link,rating,votes,cuisine_type,pricing,type1,type2,type3
Sophia’s Thai Bar & Kitchen,yelp.com/biz/sophias-thai-bar-and-kitchen-davis,3.5 star rating,735,"Thai,Seafood,Cocktail Bars,",$$,Thai,Seafood,Cocktail Bars
T-Kumi Ramen & Rice Bowl,yelp.com/biz/t-kumi-ramen-and-rice-bowl-davis-3,4 star rating,299,"Ramen,Bubble Tea,Seafood,",$,Ramen,Bubble Tea,Seafood
Common Grounds Coffee,yelp.com/biz/common-grounds-coffee-davis,4 star rating,268,"Coffee & Tea,",$,Coffee & Tea,,
Taqueria Guadalajara Grill,yelp.com/biz/taqueria-guadalajara-grill-davis,4 star rating,366,"Mexican,",$$,Mexican,,
The Posh Bagel,yelp.com/biz/the-posh-bagel-davis,4 star rating,285,"Bagels,Coffee & Tea,Sandwiches,",$$,Bagels,Coffee & Tea,Sandwiches
Burger Patch - Davis,yelp.com/biz/burger-patch-davis-davis,4 star rating,191,"Burgers,Vegan,Fast Food,",$,Burgers,Vegan,Fast Food
Black Bear Diner,yelp.com/biz/black-bear-diner-davis,3.5 star rating,535,"American (Traditional),Breakfast & Brunch,Diners,",$,American (Traditional),Breakfast & Brunch,Diners
Philz Coffee,yelp.com/biz/philz-coffee-davis-5,4 star rating,209,"Coffee & Tea,Breakfast & Brunch,",$,Coffee & Tea,Breakfast & Brunch,
Lazi Cow,yelp.com/biz/lazi-cow-davis,3.5 star rating,476,"Desserts,Bubble Tea,Ramen,",$,Desserts,Bubble Tea,Ramen
Ali Baba,yelp.com/biz/ali-baba-davis-2,4 star rating,368,"Middle Eastern,",$,Middle Eastern,,
Cloud Forest Cafe,yelp.com/biz/cloud-forest-cafe-davis,4 star rating,268,"Coffee & Tea,Breakfast & Brunch,Sandwiches,",$$$,Coffee & Tea,Breakfast & Brunch,Sandwiches
The Hotdogger,yelp.com/biz/the-hotdogger-davis,4 star rating,278,"Hot Dogs,",$,Hot Dogs,,
The Mustard Seed,yelp.com/biz/the-mustard-seed-davis,4 star rating,324,"American (New),Desserts,Wine Bars,",$$,American (New),Desserts,Wine Bars
Dos Coyotes Border Cafe,yelp.com/biz/dos-coyotes-border-cafe-davis-2,3.5 star rating,495,"Tex-Mex,Tacos,",$,Tex-Mex,Tacos,
Teaspoon,yelp.com/biz/teaspoon-davis,4.5 star rating,89,"Bubble Tea,",$$$,Bubble Tea,,
Icekrimski Cafe,yelp.com/biz/icekrimski-cafe-davis,4 star rating,170,"Ice Cream & Frozen Yogurt,Cafes,",$,Ice Cream & Frozen Yogurt,Cafes,
Osteria Fasulo,yelp.com/biz/osteria-fasulo-davis,4 star rating,269,"Italian,",$$,Italian,,
Taqueria El Burrito,yelp.com/biz/taqueria-el-burrito-davis,3.5 star rating,505,"Mexican,",$$$,Mexican,,
Dos Coyotes Border Cafe,yelp.com/biz/dos-coyotes-border-cafe-davis,3.5 star rating,428,"Tex-Mex,Tacos,",$$,Tex-Mex,Tacos,
D Street Steakhouse,yelp.com/biz/d-street-steakhouse-davis,4 star rating,257,"Cocktail Bars,Steakhouses,",$$,Cocktail Bars,Steakhouses,
Froggy’s,yelp.com/biz/froggys-davis-2,4 star rating,258,"Bars,Burgers,American (Traditional),",$$,Bars,Burgers,American (Traditional)
Preethi Indian Cuisine,yelp.com/biz/preethi-indian-cuisine-davis,3.5 star rating,328,"Indian,",$$,Indian,,
Cindy’s Kow Thai Restaurant,yelp.com/biz/cindys-kow-thai-restaurant-davis,4 star rating,303,"Thai,American (Traditional),Breakfast & Brunch,",$$,Thai,American (Traditional),Breakfast & Brunch
The Halal Guys,yelp.com/biz/the-halal-guys-davis,4 star rating,254,"Halal,Middle Eastern,Mediterranean,",$,Halal,Middle Eastern,Mediterranean
University Of Beer - Davis,yelp.com/biz/university-of-beer-davis-davis,4 star rating,224,"Beer Bar,Sports Bars,Pubs,",$$,Beer Bar,Sports Bars,Pubs
Davis Noodle City,yelp.com/biz/davis-noodle-city-davis,3.5 star rating,504,"Taiwanese,Chinese,Noodles,",$$,Taiwanese,Chinese,Noodles
Davis Sushi Buffet,yelp.com/biz/davis-sushi-buffet-davis,3 star rating,660,"Sushi Bars,Buffets,",$$,Sushi Bars,Buffets,
Nugget Markets,yelp.com/biz/nugget-markets-davis-3,4 star rating,135,"Grocery,Fruits & Veggies,Sandwiches,",$$,Grocery,Fruits & Veggies,Sandwiches
Nami Sushi,yelp.com/biz/nami-sushi-davis,3.5 star rating,312,"Sushi Bars,Japanese,",$$,Sushi Bars,Japanese,
I Love Sushi,yelp.com/biz/i-love-sushi-davis,4 star rating,215,"Sushi Bars,Japanese,Asian Fusion,",$,Sushi Bars,Japanese,Asian Fusion
Village Pizza & Grill,yelp.com/biz/village-pizza-and-grill-davis,3.5 star rating,318,"Pizza,Persian/Iranian,Burgers,",$$,Pizza,Persian/Iranian,Burgers
Open Rice Kitchen,yelp.com/biz/open-rice-kitchen-davis,3 star rating,560,"Chinese,Asian Fusion,Soup,",$,Chinese,Asian Fusion,Soup
Red 88 Noodle Bar,yelp.com/biz/red-88-noodle-bar-davis,3 star rating,460,"Bars,Noodles,",$$,Bars,Noodles,
The Old Teahouse,yelp.com/biz/the-old-teahouse-davis-3,4 star rating,224,"Bubble Tea,Coffee & Tea,Juice Bars & Smoothies,",$$,Bubble Tea,Coffee & Tea,Juice Bars & Smoothies
Hunan Bar & Restaurant,yelp.com/biz/hunan-bar-and-restaurant-davis,3.5 star rating,309,"Chinese,Seafood,Bars,",$,Chinese,Seafood,Bars
Tres Hermanas,yelp.com/biz/tres-hermanas-davis,3.5 star rating,360,"Mexican,Bars,",$,Mexican,Bars,
Shanghai Town,yelp.com/biz/shanghai-town-davis,3.5 star rating,324,"Chinese,",$$,Chinese,,
T4 Tea For U,yelp.com/biz/t4-tea-for-u-davis-4,4 star rating,185,"Bubble Tea,Juice Bars & Smoothies,Tea Rooms,",$$,Bubble Tea,Juice Bars & Smoothies,Tea Rooms
Lamppost Pizza,yelp.com/biz/lamppost-pizza-davis-5,4 star rating,186,"Pizza,Sports Bars,",$$,Pizza,Sports Bars,
Jusco Japanese Restaurant,yelp.com/biz/jusco-japanese-restaurant-davis,3.5 star rating,337,"Japanese,Sushi Bars,Buffets,",$$,Japanese,Sushi Bars,Buffets
Musette,yelp.com/biz/musette-davis,5 star rating,39,"Vegan,Vegetarian,Cafes,",$$,Vegan,Vegetarian,Cafes
3rd and U Cafe,yelp.com/biz/3rd-and-u-cafe-davis,3.5 star rating,217,"American (New),Hot Dogs,Delis,",$,American (New),Hot Dogs,Delis
Seasons Restaurant,yelp.com/biz/seasons-restaurant-davis-2,3.5 star rating,300,"American (New),Bars,",$$,American (New),Bars,
Akira Coffee & Tea,yelp.com/biz/akira-coffee-and-tea-davis,4 star rating,103,"Bubble Tea,",$,Bubble Tea,,
Pho King 4,yelp.com/biz/pho-king-4-davis-2,3 star rating,723,"Vietnamese,Chinese,",$$,Vietnamese,Chinese,
ASUCD Coffee House Coho,yelp.com/biz/asucd-coffee-house-coho-davis,3.5 star rating,171,"Coffee & Tea,Breakfast & Brunch,Tex-Mex,",$$,Coffee & Tea,Breakfast & Brunch,Tex-Mex
Tim’s Hawaiian BBQ,yelp.com/biz/tims-hawaiian-bbq-davis,4 star rating,79,"Hawaiian,Barbeque,",$$,Hawaiian,Barbeque,
Steve’s Pizza,yelp.com/biz/steves-pizza-davis-4,3.5 star rating,203,"Pizza,Italian,",$$,Pizza,Italian,
Symposium Restaurant & Pizza House,yelp.com/biz/symposium-restaurant-and-pizza-house-davis,3.5 star rating,183,"Pizza,Greek,",$,Pizza,Greek,
Cajun Feast,yelp.com/biz/cajun-feast-davis-2,4 star rating,152,"Cajun/Creole,Asian Fusion,",$$,Cajun/Creole,Asian Fusion,
Beat the Heat @ Yoloberry Yogurt!,yelp.com/biz/beat-the-heat-yoloberry-yogurt-davis,5 star rating,23,"Yelp Events,",$,Yelp Events,,
Fire Wings - Davis,yelp.com/biz/fire-wings-davis-davis,3.5 star rating,219,"Chicken Wings,",$,Chicken Wings,,
Peet’s Coffee,yelp.com/biz/peets-coffee-davis-3,4 star rating,105,"Coffee & Tea,",$,Coffee & Tea,,
Pho Tasty,yelp.com/biz/pho-tasty-davis,4 star rating,96,"Vietnamese,",$$,Vietnamese,,
Ding How Restaurant,yelp.com/biz/ding-how-restaurant-davis,3.5 star rating,263,"Chinese,Vegetarian,",$$,Chinese,Vegetarian,
Mr. Pickle’s Sandwich Shop,yelp.com/biz/mr-pickles-sandwich-shop-davis,4 star rating,123,"Sandwiches,American (New),Soup,",$,Sandwiches,American (New),Soup
Upper Crust Baking,yelp.com/biz/upper-crust-baking-davis,4 star rating,96,"Bakeries,Desserts,Pizza,",$$,Bakeries,Desserts,Pizza
Hometown Taiwanese Kitchen & Bar,yelp.com/biz/hometown-taiwanese-kitchen-and-bar-davis-3,4 star rating,94,"Taiwanese,Chinese,",$$,Taiwanese,Chinese,
Village Pizza & Pints,yelp.com/biz/village-pizza-and-pints-davis-2,4 star rating,89,"Pizza,",$$,Pizza,,
Well Season - Davis,yelp.com/biz/well-season-davis-davis,3.5 star rating,143,"Dim Sum,Cantonese,Seafood,",$,Dim Sum,Cantonese,Seafood
i-Tea,yelp.com/biz/i-tea-davis-2,3.5 star rating,129,"Bubble Tea,Juice Bars & Smoothies,Ramen,",$$,Bubble Tea,Juice Bars & Smoothies,Ramen
Manna Korean Restaurant,yelp.com/biz/manna-korean-restaurant-davis,3 star rating,273,"Korean,",$,Korean,,
Tasty Kitchen,yelp.com/biz/tasty-kitchen-davis,3 star rating,243,"Cantonese,",$,Cantonese,,
Chengdu Style,yelp.com/biz/chengdu-style-davis,3.5 star rating,212,"Chinese,",$,Chinese,,
Pachamama Coffee,yelp.com/biz/pachamama-coffee-davis,4.5 star rating,40,"Coffee & Tea,Cafes,",$,Coffee & Tea,Cafes,
Westlake Market,yelp.com/biz/westlake-market-davis,4.5 star rating,51,"Grocery,Delis,",$$,Grocery,Delis,
Starbucks,yelp.com/biz/starbucks-davis-6,3.5 star rating,134,"Coffee & Tea,",$,Coffee & Tea,,
Mermaid Sushi,yelp.com/biz/mermaid-sushi-davis-2,4.5 star rating,44,"Sushi Bars,Seafood,Salad,",$,Sushi Bars,Seafood,Salad
Rare Tea - Davis,yelp.com/biz/rare-tea-davis-davis,3.5 star rating,168,"Bubble Tea,",$,Bubble Tea,,
Toad Hollow Dog Park,yelp.com/biz/toad-hollow-dog-park-davis,4 star rating,74,"Dog Parks,",$,Dog Parks,,
Farmer’s Kitchen,yelp.com/biz/farmers-kitchen-davis,4 star rating,92,"Gluten-Free,Grocery,Organic Stores,",$,Gluten-Free,Grocery,Organic Stores
Myu Myu,yelp.com/biz/myu-myu-davis,5 star rating,18,"Convenience Stores,Japanese,",$,Convenience Stores,Japanese,
Three Ladies Cafe,yelp.com/biz/three-ladies-cafe-davis,3.5 star rating,165,"Juice Bars & Smoothies,Sandwiches,Breakfast & Brunch,",$,Juice Bars & Smoothies,Sandwiches,Breakfast & Brunch
Jan Shrem and Maria Manetti Shrem Museum of Art,yelp.com/biz/jan-shrem-and-maria-manetti-shrem-museum-of-art-davis,5 star rating,24,"Museums,",$,Museums,,
Peet’s Coffee,yelp.com/biz/peets-coffee-davis,3.5 star rating,115,"Coffee & Tea,",$,Coffee & Tea,,
Jack’s Urban Eats,yelp.com/biz/jacks-urban-eats-davis,3 star rating,280,"American (Traditional),Salad,Sandwiches,",$$,American (Traditional),Salad,Sandwiches
Ohana Hawaiian BBQ,yelp.com/biz/ohana-hawaiian-bbq-davis,3 star rating,329,"Hawaiian,Barbeque,",$,Hawaiian,Barbeque,
Tim’s Kitchen,yelp.com/biz/tims-kitchen-davis,4.5 star rating,26,"Asian Fusion,",$,Asian Fusion,,
Cake Couture Love,yelp.com/biz/cake-couture-love-davis,5 star rating,17,"Custom Cakes,Cupcakes,Kids Activities,",$$,Custom Cakes,Cupcakes,Kids Activities
City of Davis,yelp.com/biz/city-of-davis-davis-2,4.5 star rating,18,"Local Flavor,",$,Local Flavor,,
Black Frog Coffee,yelp.com/biz/black-frog-coffee-davis-2,4.5 star rating,25,"Coffee & Tea,",$$,Coffee & Tea,,
Northstar Park,yelp.com/biz/northstar-park-davis,5 star rating,19,"Parks,",$$,Parks,,
La crêpe,yelp.com/biz/la-cr%C3%AApe-davis-2,4 star rating,52,"Creperies,French,",$,Creperies,French,
